date, timeslot, station, inFlow, outFlow
20170514,681,2035,3787,3351
20170514,682,2035,4178,3370
20170514,683,2035,4395,3251
20170514,684,2035,4340,3261
20170514,685,2035,4371,3246
20170514,686,2035,4296,2937
20170514,687,2035,4042,2950
20170514,688,2035,3843,2724
20170514,689,2035,3781,2391
20170514,690,2035,3588,2602
20170514,691,2035,3266,2532
20170514,692,2035,3371,2277
20170514,693,2035,3172,2059
20170514,694,2035,3169,1982
20170514,695,2035,3122,1735
20170514,696,2035,3199,1740
20170514,697,2035,3179,1716
20170514,698,2035,3244,1625
20170514,699,2035,3220,1592
20170514,700,2035,3387,1564
20170514,701,2035,3223,1435
20170514,702,2035,3193,1244
20170514,703,2035,2710,1170
20170515,704,2035,232,1057
20170515,705,2035,316,797
20170515,706,2035,473,878
20170515,707,2035,665,976
20170515,708,2035,833,1334
20170515,709,2035,1157,1590
20170515,710,2035,1491,2017
20170515,711,2035,1898,2784
20170515,712,2035,2056,4503
20170515,713,2035,2109,5739
20170515,714,2035,1793,6920
20170515,715,2035,1788,7983
20170515,716,2035,1387,6387
20170515,717,2035,1312,4548
20170515,718,2035,1166,3502
20170515,719,2035,1033,2939
20170515,720,2035,1037,2430
20170515,721,2035,1020,2010
20170515,722,2035,1024,1991
20170515,723,2035,1073,2059
20170515,724,2035,1022,1523
20170515,725,2035,1096,1653
20170515,726,2035,1106,1599
20170515,727,2035,1202,1597
20170515,728,2035,1273,1524
20170515,729,2035,1343,1622
20170515,730,2035,1521,1717
20170515,731,2035,1536,1800
20170515,732,2035,1669,1904
20170515,733,2035,1787,1914
20170515,734,2035,1771,2015
20170515,735,2035,1786,1927
20170515,736,2035,2003,1928
20170515,737,2035,1843,1787
20170515,738,2035,1926,1763
20170515,739,2035,2020,1814
20170515,740,2035,2052,1842
20170515,741,2035,2182,1804
20170515,742,2035,2209,1756
20170515,743,2035,2201,1681
20170515,744,2035,2275,1704
20170515,745,2035,2427,1744
20170515,746,2035,2522,1926
20170515,747,2035,2719,2027
20170515,748,2035,3167,2349
20170515,749,2035,3504,2617
20170515,750,2035,4350,3021
20170515,751,2035,4943,3262
20170515,752,2035,5760,3375
20170515,753,2035,6261,3445
20170515,754,2035,5834,3042
20170515,755,2035,5881,2702
